#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-568.8093,175,745.041149
-100.0,1,745.431903
-872.70966,193,754.079119
154.86823,75,754.442115
81.25629,88,754.442115
-461.77173,199,755.541559
99.480774,28,755.930872
-1326.5381,252,756.307779
-303.08844,50,757.486327
207.53763,119,757.8872
-1012.3542,219,760.463907
-847.6903,163,760.463907
186.37772,60,760.463907
-499.58023,157,761.578043
70.26349,64,763.170467
-333.20972,133,763.171467
-290.38593,177,763.915329
347.29532,58,764.657356
220.55042,73,766.576255
-711.7186,157,766.576255
-663.2768,179,769.679455
555.7586,83,771.604498
87.74069,87,773.872409
-548.1303,166,774.615321
-1288.2726,328,774.993637
-1554.1624,284,777.656989
-748.8621,188,778.054086
-416.0551,150,781.050162
243.46463,54,781.050162
249.18466,32,781.805466
-2183.7312,361,783.419942
279.75793,77,784.163647
-540.6151,176,785.699507
135.06462,84,786.844162
-1723.1105,361,788.708979
551.8877,68,789.809037
322.08328,50,794.556486
480.4886,59,794.556486
127.16193,80,795.841238
-1740.2749,342,796.270505
-251.83894,139,796.270505
-733.95825,154,800.273138
143.21184,104,803.073745
244.19669,63,803.534161
-300.81693,201,804.497405
276.09625,60,806.321311
-995.77185,236,806.760606
295.49402,47,807.160111
8.97744,83,807.972645
147.81155,78,810.584409
-209.8189,138,816.759747
-1816.7234,361,817.228139
-983.07025,167,825.360725
-559.3718,200,825.809727
-334.2467,148,828.695866
-297.75232,111,829.136247
-2224.5718,361,832.494588
117.198975,65,832.940911
-571.1534,192,834.200563
-113.46032,2,834.982318
155.65164,79,838.281801
612.4293,77,838.716484
329.37543,112,839.533029
-120.094696,16,841.628879
-397.95667,158,842.008975
-2155.3076,361,844.762508
-158.33618,102,845.29423
8.814659,113,846.278087
-123.35972,151,847.281815
259.02597,57,854.503965
-83.06769,108,854.503965
134.75699,85,854.98125
-78.691505,18,855.832793
210.84393,27,858.045557
-364.20404,138,858.045557
-102.979546,116,858.849437
146.043,75,859.233313
-222.75308,121,860.589774
-1011.8208,246,862.541534
-887.6918,226,863.491888
255.94281,63,866.854819
-648.3836,161,867.642745
268.26746,98,868.962892
-22.108604,12,871.861812
-41.119694,11,873.392202
-1510.6042,267,873.77282
310.03998,50,879.680619
462.66803,89,880.054994
402.71198,112,885.866328
-2008.4424,361,885.866328
-1082.8391,247,889.64838
33.004578,103,890.025147
-316.75403,122,893.69579
-1979.924,360,893.69579
433.9245,96,894.453264
-370.45673,157,895.23431
-146.79832,4,895.23431
288.59036,40,896.132162
191.78723,85,897.895076
-295.07147,110,900.114045
-1596.9043,344,900.529802
-1029.0323,217,901.421552
-1122.8456,261,901.421552
-310.16553,171,904.746073
-60.97453,22,907.378415
-1914.8173,361,907.378415
-1918.5515,361,909.654419
-448.01556,220,912.031632
13.747208,100,915.589668
-2107.6995,361,916.026417
-69.13074,179,916.026417
-1783.2362,361,916.026417
-1590.9789,308,917.115196
383.15665,53,917.887119
-1462.7238,289,919.8405
-9.493515,13,922.078968
48.12076,156,924.319135
295.75897,108,924.77099
-378.59546,139,925.166343
532.69135,61,926.403489
-992.94574,222,926.860577
-674.13293,166,927.254902
-15.9453125,9,928.114809
268.77936,61,931.066513
425.3202,59,932.891142
29.798737,22,936.246831
2.3147125,27,936.655656
-689.52246,197,937.447091
-1285.4294,296,937.890673
269.7805,52,937.890673
-1967.8273,361,940.813749
-32.27169,101,944.461726
-1774.0027,361,949.826214
270.6081,134,952.995218
-343.18243,129,954.529024
271.02924,50,956.824667
131.29349,78,957.601402
512.9074,91,959.532747
-859.2755,210,960.299133
-424.22937,147,963.709492
-114.53664,111,964.229437
-1206.148,259,967.553358
84.71471,42,968.611126
-5.0892487,102,971.708259
132.54968,23,971.708259
-74.17407,12,974.575458
-126.28058,143,978.881358
-578.2362,191,979.468332
405.56375,93,980.01822
258.6465,56,980.024253
-155.0318,110,982.800365
-1252.6255,295,983.903444
-355.44772,153,984.412785
-87.790085,20,985.470353
-860.0602,208,986.431354
-761.33203,218,986.93168
-58.331486,15,986.93168
-521.57556,160,987.433416
-1360.1754,293,990.693517
55.398376,111,12873.410378
206.68585,83,12877.470271
98.6093,77,12878.408326
-263.78998,158,12882.277012
323.9268,46,12883.716157
364.60324,133,12884.695975
-1788.5864,361,12886.093095
-426.40668,170,12887.571123
1.4563599,101,12889.119081
451.51755,108,12889.732342
94.99017,89,12891.140343
-1239.3468,276,12891.998667
233.86993,63,12892.865541
-25.909065,102,12899.463284
177.84131,79,12899.908561
199.06708,67,12900.346335
-1650.3085,361,12902.070435
182.8439,78,12902.531525
5.822212,92,12907.705625
-185.75641,38,12907.705625
-174.22635,114,12908.213357
-123.617424,23,12909.75051
-617.1533,203,12912.730055
-1307.4648,361,12913.246754
275.57663,74,12914.64681
-141.9413,33,12914.64681
-250.44055,215,12916.64185
386.5104,66,12918.318442
-79.453865,17,12921.53705
-117.72344,2,12922.298334
-1331.6818,297,12922.674017
251.8271,131,12926.171871
91.97153,111,12927.976764
-1396.8778,361,12928.431028
-1618.9031,361,12932.623826
234.37,73,12933.905825
-849.73035,297,12935.068426
-991.5437,315,12935.068426
-43.22177,7,12937.989245
-1379.6842,361,12938.363831
116.619995,159,12939.653743
310.68805,34,12941.036196
347.89838,49,12943.59487
-835.2605,198,12943.999165
-122.69125,139,12943.999165
228.04828,31,12945.682137
-1805.6982,361,12952.264182
-451.62238,241,12955.614444
361.11972,43,12956.500527
292.88098,32,12957.3323
218.04182,107,12959.806365
-78.83782,18,12963.132115
-725.7316,178,12965.163379
219.73807,85,12969.272686
250.33353,45,12970.964517
-418.4901,236,12972.180056
-1554.862,361,12972.97768
-128.37624,112,12974.921437
-653.2701,213,12976.075729
659.68494,74,12976.075729
